dataset,time
KWOODPULP,1.4381890296936
KZINC,1.45126628875732
LAMB,1.49728608131409
LEAD,1.38400506973267
LIBOR3M,1.45784568786621
LIBOR6M,1.48710536956787
LOGS_CMR,1.48996567726135
LOGS_MYS,1.38444685935974
MAIZE,1.40732431411743
MS.MIL.MPRT.KD,28.7150897979736
MS.MIL.XPRT.KD,28.5968930721283
NEER,29.2292113304138
NGAS_EUR,1.40722131729126
NGAS_JP,1.39431095123291
NGAS_US,1.40337657928467
NICKEL,1.40888595581055
NYGDPMKTPKDZ,29.2520990371704
ORANGE,1.41573286056519
PA.NUS.FCRF,29.7075252532959
PALM_OIL,1.47026753425598
PHOSROCK,1.50926494598389
PLMKRNL_OIL,1.55938100814819
PLYWOOD,1.52134370803833
POTASH,1.38299870491028
Practice,29.6355357170105
REER,28.9447765350342
RICE_05,1.4197359085083
RICE_05_VNM,1.38897895812988
RICE_25,1.37567329406738
RICE_A1,1.38376450538635
RUBBER1_MYSG,1.423020362854
SAWNWD_CMR,1.35875105857849
SAWNWD_MYS,1.37485098838806
SE.COM.DURS,28.3473818302155
SE.ENR.PRIM.FM.ZS,1.48986339569092
SE.ENR.PRSC.FM.ZS,1.46924233436584
SE.ENR.SECO.FM.ZS,1.55851268768311
SE.PRE.ENRL,1.41361117362976
SE.PRE.ENRL.FE,1.48195028305054
SE.PRE.ENRL.FE.ZS,1.47074198722839
SE.PRE.ENRL.TC.ZS,1.49505734443665
SE.PRE.ENRR,1.62101173400879
SE.PRE.ENRR.FE,1.46762990951538
SE.PRE.ENRR.MA,1.48812055587769
SE.PRE.NENR,1.46910738945007
SE.PRE.NENR.FE,1.49396729469299
SE.PRE.NENR.MA,1.4223325252533
SE.PRE.PRIV.ZS,1.42845773696899
SE.PRE.TCHR,1.43648409843445
SE.PRE.TCHR.FE,1.4597749710083
SE.PRE.TCHR.FE.ZS,1.39984464645386
SE.PRM.AGES,30.0015208721161
SE.PRM.CMPL.FE.ZS,1.45224833488464
SE.PRM.CMPL.MA.ZS,1.46353125572205
SE.PRM.CMPL.ZS,1.47882103919983
SE.PRM.CMPT.FE.ZS,1.48289513587952
SE.PRM.CMPT.MA.ZS,1.41651678085327
SE.PRM.CMPT.ZS,1.42341732978821
SE.PRM.DURS,30.4837419986725
SE.PRM.ENRL,1.43160271644592
SE.PRM.ENRL.FE,1.44949555397034
